k,therapeutic_area_id,therapeutic_area_name,observed_svd_mass,observed_neuralmf_mass,observed_difference_svd_minus_neuralmf,svd_bootstrap_median,svd_bootstrap_95ci_low,svd_bootstrap_95ci_high,neuralmf_bootstrap_median,neuralmf_bootstrap_95ci_low,neuralmf_bootstrap_95ci_high,difference_bootstrap_median,difference_bootstrap_95ci_low,difference_bootstrap_95ci_high,bootstrap_replicates
100,EFO_0000651,phenotype,0.07759858698860196,0.07514332781332292,0.0024552591752790426,0.0773177646296016,0.0699104189345179,0.08541735108823319,0.07494804439440762,0.06947879003451304,0.08086711748186003,0.0023662138118899154,-0.007430690864937536,0.012558931737200065,2000
100,EFO_0002571,medical procedure,0.010523013537975178,0.01400127575117457,-0.0034782622131993915,0.010471072701082907,0.006308544572315581,0.01506473028917093,0.014101904388036364,0.009703727329086165,0.01874031563983954,-0.003563172268438333,-0.009718394154143396,0.002651724908480084,2000
100,EFO_0010282,gastrointestinal disease,0.045192399127035765,0.05813922356985039,-0.012946824442814628,0.044848449846396424,0.03917495235187528,0.0520216594092913,0.05772766939356576,0.04976818765310694,0.06744235731755217,-0.012720114278721852,-0.024037131038041105,-0.002339625369918524,2000
100,GO_0008150,biological_process,0.033205217548617404,0.029566078930112677,0.0036391386185047267,0.03287775020208876,0.02582824626096823,0.04156548857521894,0.02950238222894178,0.02462028154225409,0.034710529623029514,0.0035088653419931056,-0.005751158287990894,0.013742743971036453,2000
100,MONDO_0002025,psychiatric disorder,0.03736036696665764,0.043311895710335536,-0.005951528743677895,0.03737657902611759,0.031262824384848405,0.04360617819960808,0.04330136647265341,0.03784659227475137,0.049372900619382376,-0.005934826832465729,-0.01424582105608404,0.001979991026739592,2000
100,MONDO_0002051,integumentary system disorder,0.035147973438880896,0.04451017801180892,-0.009362204572928023,0.03493537575048655,0.0282040936782468,0.04256116961818901,0.04412549198228085,0.035671047225170484,0.05395958776154876,-0.00917479076068492,-0.021278617276439035,0.0021648018101048327,2000
100,MONDO_0002118,urinary system disorder,0.03552345196455899,0.03153317463359193,0.00399027733096706,0.035118892931602204,0.029423405825115864,0.04304980091981036,0.03145234603681563,0.026961763270334185,0.03631893759867399,0.0036481940135942754,-0.0038814903399397144,0.012876640057601222,2000
100,MONDO_0002515,hepatobiliary disorder,0.025580883651369075,0.02753367745698105,-0.0019527938056119742,0.02554666511160847,0.021110811489245693,0.030618623974116074,0.02748404745438529,0.022690762657189903,0.03229944059333107,-0.0019308876109352877,-0.008724257341717648,0.005163579457203807,2000
100,MONDO_0004995,cardiovascular disorder,0.051913779530957674,0.05177817418791479,0.00013560534304288274,0.051866992033451687,0.04508337463522757,0.05851899058040816,0.051808440974367785,0.046532203996669706,0.056790436304459735,3.907085271490779e-05,-0.007894925393253217,0.00846484018723735,2000
100,MONDO_0005046,immune system disorder,0.05622880777146717,0.04202303177223166,0.014205775999235504,0.05618168242482753,0.046589640332937284,0.06687106706116004,0.042047340499743985,0.03631874934239679,0.04811452646842472,0.014188408342646078,0.0032199528086042906,0.026107892042198867,2000
100,MONDO_0005071,nervous system disorder,0.08804894227699632,0.08688777142038945,0.0011611708566068718,0.0878208487723959,0.07444336053229661,0.10311980098634438,0.08664836953063018,0.07798258480651436,0.0967531687834864,0.0011547464274369798,-0.014706703834969222,0.018685787285111402,2000
100,MONDO_0005151,endocrine system disorder,0.0502992798705136,0.04952125066331901,0.0007780292071945943,0.05023443144663915,0.045000341093627765,0.05627161179095332,0.04946900473444421,0.043795998421326754,0.05561275587358697,0.0006478955802633572,-0.007126629567474203,0.00868986810966866,2000
100,MONDO_0005550,infectious disease,0.032624421725879316,0.03369462483640322,-0.0010702031105239013,0.03257324781061885,0.027373840890022004,0.03826649845374829,0.03376389735315767,0.029266847128063163,0.0383146609318515,-0.0012001816345422953,-0.007893565207694785,0.0060154535768658516,2000
100,MONDO_0005570,hematologic disorder,0.0356505225234574,0.029256503497004954,0.006394019026452445,0.035631961989902705,0.029290293360482136,0.04253502491170444,0.029219236217724855,0.024381022421544267,0.034567411986767736,0.0062816393424377955,-0.0018784245240258115,0.01473402228931857,2000
100,MONDO_0005583,non-human animal disease,0.000243403644903559,0.00020900112790440495,3.4402516999154046e-05,0.00023964951653461405,0.00011122240564707354,0.00039293943565082046,0.00020827715820804404,0.00011591469056766973,0.0003185384579422352,3.058273273152034e-05,-0.00013610955298787734,0.000212680269778897,2000
100,MONDO_0021205,disorder of ear,0.006482852394389808,0.007672712939031311,-0.001189860544641503,0.006381650541513378,0.003661358746790266,0.009801845536598042,0.007612671343001654,0.005378528992273677,0.010534596604443143,-0.0012214811008252227,-0.00511352203934857,0.002820339807956597,2000
100,MONDO_0024458,disorder of visual system,0.030879025771391417,0.0370173021169645,-0.006138276345573086,0.03086763110774854,0.025109709524552895,0.037893814403146237,0.03703198618546219,0.029609545293318294,0.045171444994279074,-0.0061924510530656,-0.016346042882245122,0.004007233191944337,2000
100,MONDO_0045024,cancer or benign tumor,0.05343396711291073,0.0457692695305424,0.007664697582368325,0.05338046329683392,0.046861243709199474,0.06027326806231702,0.0456202851949224,0.04038098448769593,0.051463183541852635,0.0077285566636421145,-0.0013241195129244686,0.017029477529223246,2000
100,OTAR_0000006,musculoskeletal or connective tissue disease,0.05136545684584133,0.044085886836712884,0.007279570009128447,0.05130108475029563,0.04452840082517541,0.05876257370294203,0.044066539811900424,0.039004634923657015,0.04919897240911272,0.0073232325856948804,-0.001574585463200505,0.01618802031670102,2000
100,OTAR_0000009,"injury, poisoning or other complication",0.017184787026912236,0.025269539931864995,-0.00808475290495276,0.017236698297287453,0.013183337778603496,0.021553998711611934,0.025269805208837086,0.02041605206744271,0.030265266055899364,-0.007895437609862168,-0.014510106099128792,-0.0016498048386104692,2000
100,OTAR_0000010,respiratory or thoracic disease,0.037430073094972,0.03696023640330525,0.00046983669166674596,0.037443448052711284,0.032009886376714834,0.04361615709938219,0.03690595290899623,0.03231187767765024,0.04168471970407934,0.0005150959167575693,-0.006671721143422549,0.008398318802249156,2000
100,OTAR_0000014,pregnancy or perinatal disease,0.016170345465378037,0.016531765936475862,-0.00036142047109782513,0.01610268290173772,0.01258134519695434,0.019975225120610132,0.01653589084120126,0.013149044847221524,0.020316772238427108,-0.00040987485512968685,-0.005639699121756483,0.004833472335305902,2000
100,OTAR_0000017,reproductive system or breast disease,0.04741693215063469,0.04067191843622453,0.006745013714410157,0.047083451795902044,0.038956134211700105,0.05760285737387542,0.04060913681755533,0.035764630387081574,0.04644228803064889,0.006684675781682085,-0.0035277555161155444,0.017986209084437006,2000
100,OTAR_0000018,"genetic, familial or congenital disease",0.08404422516513857,0.07904002740995462,0.005004197755183945,0.08378217294661104,0.07384436391614296,0.09523527170926095,0.0791797463533864,0.0710679670713034,0.08694477711263568,0.004735951973847921,-0.008296763700446505,0.01823910900797932,2000
100,OTAR_0000020,nutritional or metabolic disease,0.04045128440455831,0.049872151076577144,-0.009420866672018836,0.04029857176638017,0.033060040738069195,0.04934163382982214,0.04985485717364466,0.04239921350217484,0.05819846061296649,-0.009389524883058047,-0.02034725723961338,0.001683323279568527,2000
500,EFO_0000651,phenotype,0.08562207290043448,0.08184047584815923,0.0037815970522752512,0.0855244168532727,0.0807485220978322,0.09092973190801752,0.08181622079524507,0.07775599545999953,0.08571065023861592,0.0038078135951824035,-0.0025502109922881638,0.010629956997944726,2000
500,EFO_0002571,medical procedure,0.007099890517805347,0.005946446290981105,0.0011534442268242425,0.00701917343102507,0.0050730463565067255,0.009180403698140922,0.005915722526736319,0.004656138833450532,0.007376989834679936,0.0011027136769877401,-0.0013249595058175574,0.0036206575979348074,2000
500,EFO_0010282,gastrointestinal disease,0.05094749048758046,0.049761558159465064,0.0011859323281153966,0.0508418417312779,0.046749654895466626,0.055193589760253,0.04971421937318078,0.0464633987409792,0.0529050461337275,0.0012110880526527493,-0.004211442856472258,0.00645194941341502,2000
500,GO_0008150,biological_process,0.030924315661555974,0.026332784430854687,0.004591531230701287,0.03084289173554504,0.026955816575510806,0.03513921170005366,0.026329183962802497,0.02385299472825916,0.02910568208557672,0.004522576471346186,-0.00027739208813727987,0.009407949690422501,2000
500,MONDO_0002025,psychiatric disorder,0.03931090906981343,0.03360474483429969,0.00570616423551374,0.03930277754860395,0.034877629024922634,0.04370762241873324,0.03361918020725623,0.030721483913492945,0.0367281862016168,0.005688700741070439,0.000287218126386068,0.010889863318835388,2000
500,MONDO_0002051,integumentary system disorder,0.03413681123078286,0.034225494198265864,-8.868296748300308e-05,0.0341557198281061,0.029640828537864823,0.039132754989997534,0.03419994368458086,0.030935758218453444,0.03770798702868763,-6.158674367889513e-05,-0.0060086022293275735,0.00575760088880649,2000
500,MONDO_0002118,urinary system disorder,0.03384171365635389,0.03191859683239256,0.0019231168239613322,0.03379814461244961,0.03031494188193881,0.03772939515918526,0.03186800467442197,0.029724292210088574,0.03409730585663746,0.0018803517292658514,-0.0021140264343459314,0.006348272462293649,2000
500,MONDO_0002515,hepatobiliary disorder,0.02731137591681448,0.02732411052550842,-1.2734608693939359e-05,0.027271504488550646,0.023965628251912213,0.030689048004386613,0.027316333030848253,0.025331779194759107,0.02937086494414844,-3.423562163300947e-05,-0.0039153123441795735,0.004061787049338831,2000
500,MONDO_0004995,cardiovascular disorder,0.05124706910497152,0.0454994535951291,0.005747615509842416,0.05118315596168527,0.0468558635627316,0.05572846711402753,0.04544156501237234,0.0422831052349485,0.048898769785759244,0.005759399525439128,0.0002547926339937574,0.011223068646043177,2000
500,MONDO_0005046,immune system disorder,0.05001871379912292,0.051586574240660245,-0.0015678604415373248,0.04998417473013252,0.044581018015599716,0.055854102618522986,0.051697758504374976,0.048114055271406365,0.055543804298533055,-0.001670021665281917,-0.008166757892482206,0.005176009597638248,2000
500,MONDO_0005071,nervous system disorder,0.09384491374637619,0.09931882601247348,-0.005473912266097294,0.09377489791228313,0.08589027186304088,0.1022082388631443,0.09910095254653811,0.09228651283950734,0.10697241586488347,-0.005355795764039516,-0.016534521848958792,0.005844666041162498,2000
500,MONDO_0005151,endocrine system disorder,0.051224019052523904,0.047858345737061464,0.0033656733154624405,0.051122027636514786,0.04727910236514228,0.05527200889154216,0.04785624426714527,0.04508426455079952,0.05048264725932936,0.0033153628230975472,-0.0015519296707098233,0.008514759284203387,2000
500,MONDO_0005550,infectious disease,0.029713225957594992,0.03628818323869412,-0.006574957281099129,0.029723140865125244,0.026495982013751616,0.03315502241874105,0.03616697502364555,0.032896694496465234,0.03983991661957092,-0.006520891815836255,-0.011157926203450384,-0.001794157927716184,2000
500,MONDO_0005570,hematologic disorder,0.028928540721905732,0.0345143005615062,-0.005585759839600468,0.028929187479801527,0.025466940735619434,0.03289975396312098,0.03449779486336016,0.03179058909247813,0.03752761018801781,-0.005591737868053847,-0.010091836295600546,-0.0007996008953799845,2000
500,MONDO_0005583,non-human animal disease,0.00038607377136789573,0.0003076856686259449,7.838810274195083e-05,0.000385249126304142,0.0002690014436556157,0.0005240969958470558,0.000306979483662394,0.00023762298974626232,0.00038156445308102336,7.620058003962409e-05,-5.8154879148134065e-05,0.00023958445339449812,2000
500,MONDO_0021205,disorder of ear,0.004826158162444477,0.006493250517948642,-0.0016670923555041654,0.004781448988700664,0.0037596483841501513,0.005983601245729792,0.006441560070979442,0.004926474005520878,0.008398888504674693,-0.0016459483679502475,-0.003880820756402316,0.00030153287816904467,2000
500,MONDO_0024458,disorder of visual system,0.031155258308262403,0.028543931215099568,0.002611327093162835,0.031199569427321102,0.027013565187438707,0.035710511932116794,0.028526642492690928,0.025929230620537345,0.03162325516684611,0.002608750385173589,-0.002458263425140256,0.007923119482752105,2000
500,MONDO_0045024,cancer or benign tumor,0.04804073898015155,0.05513025893233696,-0.007089519952185409,0.04803080278113779,0.044392449042241225,0.051928064456468984,0.05508988393018386,0.05213352056600562,0.058300151651377134,-0.007119581618306739,-0.011778800798892715,-0.0019706705092279093,2000
500,OTAR_0000006,musculoskeletal or connective tissue disease,0.046498943312874345,0.052551631230852804,-0.006052687917978458,0.04657496764145108,0.04243881650445068,0.05056582805852714,0.0523915378167239,0.0484510614897691,0.0572000448040411,-0.005867176847618824,-0.01188596721154552,-0.0004761088555385095,2000
500,OTAR_0000009,"injury, poisoning or other complication",0.017696156885970152,0.017046544837981733,0.0006496120479884196,0.017672892061598815,0.014741610529556463,0.02067842233008071,0.01704011349262452,0.014632106475464679,0.019706773755238282,0.0006211129074952578,-0.003270039544909589,0.004569166384648527,2000
500,OTAR_0000010,respiratory or thoracic disease,0.033675606919194016,0.04114210403324994,-0.007466497114055927,0.033631124973949156,0.029972710754996537,0.037331828782461336,0.04110070879901864,0.03776378652196958,0.044458972770465205,-0.007447299569718627,-0.012580095361847423,-0.0023160985374676493,2000
