k,svd_unique_targets,neuralmf_unique_targets,svd_mapped_targets,neuralmf_mapped_targets,svd_annotated_targets,neuralmf_annotated_targets,svd_annotation_fraction,neuralmf_annotation_fraction,js_divergence_disease_area_profile,bootstrap_js_median,bootstrap_js_95ci_low,bootstrap_js_95ci_high,top5_area_overlap_coefficient,svd_top5_areas,neuralmf_top5_areas
100,78,100,78,100,78,100,1.0,1.0,0.00431543839507851,0.006517713177872225,0.0032424622493119467,0.011322608358027881,0.6,MONDO_0005071;OTAR_0000018;EFO_0000651;MONDO_0005046;MONDO_0045024,MONDO_0005071;OTAR_0000018;EFO_0000651;EFO_0010282;MONDO_0004995
500,250,498,250,498,250,497,1.0,0.9979919678714859,0.0018633144897184887,0.002630163597828223,0.0015473853677579863,0.004175617410534396,0.6,MONDO_0005071;OTAR_0000018;EFO_0000651;OTAR_0000020;MONDO_0004995,MONDO_0005071;OTAR_0000018;EFO_0000651;MONDO_0045024;OTAR_0000006
1000,342,670,342,670,342,669,1.0,0.9985074626865672,0.001546371567735311,0.002153534951160195,0.0012665109935912143,0.0033601784139775017,0.6,MONDO_0005071;OTAR_0000018;EFO_0000651;EFO_0010282;MONDO_0005151,MONDO_0005071;OTAR_0000018;EFO_0000651;MONDO_0045024;OTAR_0000006
