seed,model,auc_random,auc_matched,n_seen,n_matched,match_fraction
0,SVD,0.8780477105852726,0.7692494145303523,18030,18030,1.0
0,NeuralMF,0.9316351099064879,0.5528946671428557,18030,18030,1.0
0,LightGCN,0.9061620861145641,0.5892025185115459,18030,18030,1.0
1,SVD,0.8765560126725379,0.7633852511790143,18030,18030,1.0
1,NeuralMF,0.9330811745630088,0.5523548661271701,18030,18030,1.0
1,LightGCN,0.9123963265759384,0.5993152935161679,18030,18030,1.0
2,SVD,0.8773980526237288,0.7647396150491097,18065,18065,1.0
2,NeuralMF,0.9295900885024088,0.5499459259620727,18065,18065,1.0
2,LightGCN,0.9068155089920773,0.5974018492283723,18065,18065,1.0
