seed,n_test_seen,seen_fraction,n_matched,match_fraction,svd_auc_random,svd_auc_matched,svd_drop,neuralmf_auc_random,neuralmf_auc_matched,neuralmf_drop
0,86,0.5695364238410596,86,1.0,0.678745267712277,0.6565711195240671,0.02217414818820984,0.8572201189832342,0.5515143320713899,0.30570578691184436
1,102,0.6754966887417219,102,1.0,0.704632833525567,0.7066512879661668,-0.0020184544405997817,0.8664936562860438,0.5561322568242983,0.31036139946174546
2,100,0.6622516556291391,100,1.0,0.7098499999999999,0.69085,0.018999999999999906,0.9026000000000001,0.5807999999999999,0.3218000000000002
3,85,0.5629139072847682,85,1.0,0.7319031141868513,0.7116262975778547,0.020276816608996606,0.8737716262975779,0.54560553633218,0.32816608996539787
4,81,0.5364238410596026,81,1.0,0.7611644566377076,0.7608596250571559,0.0003048315805517232,0.8933089468068891,0.5660722450845908,0.32723670172229835
