seed,model,n_seen_positive,n_curated,n_random_pool,auc_random,auc_curated,auc_random_overlap,auc_curated_overlap,overlap_difference,max_smd_pre,max_smd_post,ess_curated,ess_random,n_curated_support,n_random_support,balance_pass
0,SVD,1605,621,12420,0.7693260292664329,0.7275322186604862,0.69813254267454,0.6888790510262335,0.009253491648306467,0.5551198536063172,0.07228473575668987,369.8177322552944,4371.2568096755285,370,4663,True
0,NeuralMF,1605,621,12420,0.9212565904655842,0.8276290376791527,0.7991454184913395,0.7400903285825801,0.059055089908759406,0.5551198536063172,0.07228473575668987,369.8177322552944,4371.2568096755285,370,4663,True
0,LightGCN,1605,621,12420,0.8642532143412543,0.7815923467826488,0.7309962295570965,0.6888192025907641,0.04217702696633241,0.5551198536063172,0.07228473575668987,369.8177322552944,4371.2568096755285,370,4663,True
1,SVD,1613,621,12420,0.7741813945269564,0.738373700798564,0.6940344458190737,0.6970923754854779,-0.003057929666404169,0.5451221610516761,0.09421958431192823,372.81200803207145,4266.38740972698,373,4547,True
1,NeuralMF,1613,621,12420,0.9188478176011532,0.8382046835643968,0.7881746555250179,0.7602937262478593,0.027880929277158573,0.5451221610516761,0.09421958431192823,372.81200803207145,4266.38740972698,373,4547,True
1,LightGCN,1613,621,12420,0.8641695942687884,0.7907870133267044,0.7313076381226025,0.7070332113340284,0.024274426788574055,0.5451221610516761,0.09421958431192823,372.81200803207145,4266.38740972698,373,4547,True
2,SVD,1606,621,12420,0.7703675628630959,0.7283987382260163,0.6959285164765194,0.6823863517241299,0.013542164752389563,0.5046302111301753,0.07924384347054268,372.8861073386501,4602.392839322826,373,4829,True
2,NeuralMF,1606,621,12420,0.9144262758616541,0.831350029980167,0.7936189641716056,0.7512399018082095,0.04237906236339606,0.5046302111301753,0.07924384347054268,372.8861073386501,4602.392839322826,373,4829,True
2,LightGCN,1606,621,12420,0.8610574676685456,0.7959333257129565,0.7393374735888832,0.7128089812910677,0.02652849229781551,0.5046302111301753,0.07924384347054268,372.8861073386501,4602.392839322826,373,4829,True
3,SVD,1611,621,12420,0.776363962132321,0.7370403356153497,0.6988800591984722,0.7041251199830229,-0.00524506078455067,0.5665582467566644,0.15723819186180124,400.8580974600082,4487.532680316095,401,4753,False
3,NeuralMF,1611,621,12420,0.9191298050540216,0.8329869826104949,0.7976939511053097,0.7627701612338754,0.034923789871434296,0.5665582467566644,0.15723819186180124,400.8580974600082,4487.532680316095,401,4753,False
3,LightGCN,1611,621,12420,0.8637539720380515,0.7879663864874239,0.735056948089633,0.7153879514919519,0.019668996597681065,0.5665582467566644,0.15723819186180124,400.8580974600082,4487.532680316095,401,4753,False
4,SVD,1605,621,12420,0.7707551381803042,0.7278121410046102,0.6981937972647291,0.6852736738081812,0.012920123456547916,0.5461425184845039,0.10789189994524173,382.8614601109946,4576.664248104743,383,4830,False
4,NeuralMF,1605,621,12420,0.9124907570444615,0.8230148338776268,0.7903012676411227,0.74166090918809,0.04864035845303272,0.5461425184845039,0.10789189994524173,382.8614601109946,4576.664248104743,383,4830,False
4,LightGCN,1605,621,12420,0.8577376204594138,0.7826608675586058,0.7305288954124237,0.6989849312351598,0.031543964177263906,0.5461425184845039,0.10789189994524173,382.8614601109946,4576.664248104743,383,4830,False
5,SVD,1609,621,12420,0.76420622124543,0.7241873159132057,0.6990539500000186,0.6849111311152956,0.014142818884723019,0.48705035363291693,0.06756765492397263,369.86804396026326,4527.070006543295,370,4759,True
5,NeuralMF,1609,621,12420,0.9229560173300547,0.8440545282223882,0.8073721211583605,0.764922774155913,0.04244934700244751,0.48705035363291693,0.06756765492397263,369.86804396026326,4527.070006543295,370,4759,True
5,LightGCN,1609,621,12420,0.8649715419204974,0.7922985541273972,0.7412635468646007,0.7069961678043482,0.03426737906025257,0.48705035363291693,0.06756765492397263,369.86804396026326,4527.070006543295,370,4759,True
6,SVD,1600,621,12420,0.7747784319645733,0.73205615942029,0.6961263247981464,0.6948786695824802,0.0012476552156661658,0.5848853990646693,0.10968036545571735,393.8473803945499,4483.595239036058,394,4748,False
6,NeuralMF,1600,621,12420,0.917932518115942,0.8259661835748793,0.7979132794532368,0.74992059367801,0.04799268577522675,0.5848853990646693,0.10968036545571735,393.8473803945499,4483.595239036058,394,4748,False
6,LightGCN,1600,621,12420,0.8595173611111112,0.7798228663446054,0.7286700246167627,0.6990352589198912,0.029634765696871512,0.5848853990646693,0.10968036545571735,393.8473803945499,4483.595239036058,394,4748,False
7,SVD,1607,621,12420,0.7662201499678841,0.727034602037984,0.6961422024994719,0.6767117519734618,0.019430450526010112,0.48430584691391254,0.07976124557537571,347.81225770716844,4310.573142103509,348,4600,True
7,NeuralMF,1607,621,12420,0.9200892432163232,0.8226278549862869,0.7935987599347257,0.7228276461429907,0.07077111379173506,0.48430584691391254,0.07976124557537571,347.81225770716844,4310.573142103509,348,4600,True
7,LightGCN,1607,621,12420,0.874920110987858,0.803239049769176,0.7548567043833121,0.7104177177861858,0.044438986597126306,0.48430584691391254,0.07976124557537571,347.81225770716844,4310.573142103509,348,4600,True
8,SVD,1604,621,12420,0.7646767742479549,0.725267146144301,0.6917928348601309,0.6825948147094916,0.009198020150639308,0.56374992414853,0.10814825958814213,388.8585648802251,4583.688884273479,389,4842,False
8,NeuralMF,1604,621,12420,0.9205671911204277,0.838804759437959,0.807323574078536,0.7681642608559097,0.039159313222626335,0.56374992414853,0.10814825958814213,388.8585648802251,4583.688884273479,389,4842,False
8,LightGCN,1604,621,12420,0.8678697278542773,0.793760365591657,0.7497245651280151,0.7179571338368564,0.031767431291158665,0.56374992414853,0.10814825958814213,388.8585648802251,4583.688884273479,389,4842,False
9,SVD,1603,621,12420,0.7765746190466145,0.7345406107509772,0.6981150933264936,0.6910646334723956,0.0070504598540980234,0.5744659159029971,0.10057259087111349,388.84543440897227,4412.934585469113,389,4688,False
9,NeuralMF,1603,621,12420,0.9217033179535552,0.8187888449897184,0.8048916713412897,0.7343512564763867,0.07054041486490303,0.5744659159029971,0.10057259087111349,388.84543440897227,4412.934585469113,389,4688,False
9,LightGCN,1603,621,12420,0.8602603763273974,0.7837548959629842,0.7268849572988706,0.7020621224160365,0.0248228348828341,0.5744659159029971,0.10057259087111349,388.84543440897227,4412.934585469113,389,4688,False
