model,auc_random,auc_matched,future_auc_random_controls,future_auc_degree_matched_controls,n_future,n_future_matched
LightGCN,0.9084579738941932,0.5953065537520287,0.8779856376793223,0.5888348663797142,5635,5635
NeuralMF,0.9314354576573018,0.5517318197440328,0.8932977988849952,0.548939265224241,5635,5635
SVD,0.8773339252938465,0.7657914269194922,0.7991166566545603,0.7029831143135856,5635,5635
