molecule_chembl_id,target_chembl_id,assay_chembl_id,pchembl_value,standard_relation,standard_type
CHEMBL1023,CHEMBL2061,CHEMBL4715624,6.7,=,Ki
CHEMBL100116,CHEMBL233,CHEMBL4723559,8.41,=,Ki
CHEMBL100116,CHEMBL237,CHEMBL4723560,8.66,=,Ki
CHEMBL1029,CHEMBL2608,CHEMBL5041858,6.7,=,Ki
CHEMBL1023,CHEMBL2061,CHEMBL5228224,7.48,=,EC50
CHEMBL1023,CHEMBL1870,CHEMBL5228225,7.62,=,EC50
CHEMBL1023,CHEMBL2004,CHEMBL5228226,7.6,=,EC50
CHEMBL1023,CHEMBL2061,CHEMBL5228257,7.5,=,EC50
CHEMBL100116,CHEMBL237,CHEMBL5360966,8.12,=,Ki
CHEMBL100116,CHEMBL233,CHEMBL5360967,8.49,=,Ki
CHEMBL100116,CHEMBL236,CHEMBL5360979,7.21,=,Ki
CHEMBL1023,CHEMBL2061,CHEMBL5611275,7.6,=,EC50
CHEMBL1023,CHEMBL1870,CHEMBL5611276,7.55,=,EC50
CHEMBL1023,CHEMBL2004,CHEMBL5611277,7.7,=,EC50
CHEMBL1023,CHEMBL2061,CHEMBL5636758,7.48,=,EC50
CHEMBL1023,CHEMBL1870,CHEMBL5636759,7.62,=,EC50
CHEMBL1023,CHEMBL2004,CHEMBL5636760,7.6,=,EC50
CHEMBL100116,CHEMBL233,CHEMBL5730141,6.55,=,IC50
CHEMBL100116,CHEMBL233,CHEMBL5731814,8.57,=,Ki
CHEMBL100116,CHEMBL233,CHEMBL5731814,7.21,=,EC50
CHEMBL100116,CHEMBL233,CHEMBL5731814,6.55,=,IC50
CHEMBL1055,CHEMBL261,CHEMBL5732037,6.58,=,IC50
CHEMBL100116,CHEMBL233,CHEMBL5733251,8.57,=,Ki
CHEMBL100116,CHEMBL233,CHEMBL5733251,7.21,=,EC50
CHEMBL100116,CHEMBL233,CHEMBL5733251,6.55,=,IC50
CHEMBL100116,CHEMBL233,CHEMBL5730141,8.57,=,Ki
CHEMBL100116,CHEMBL233,CHEMBL5738803,8.57,=,Ki
CHEMBL100116,CHEMBL233,CHEMBL5738803,6.55,=,IC50
