k,svd_minus_neuralmf_recall,paired_boot_lo,paired_boot_hi,bootstrap_p_nonpositive,svd_hits,neuralmf_hits
100,0.0012422360248447205,0.000354924578527063,0.0023070097604259094,0.0007999600019999,7,0
500,0.0030168589174800354,0.0015971606033717836,0.004614019520851819,4.999750012499375e-05,18,1
1000,0.0037267080745341614,0.0019520851818988466,0.005678793256433008,4.999750012499375e-05,26,5
5000,0.011535048802129548,0.00816326530612245,0.015084294587400177,4.999750012499375e-05,87,22
10000,0.020763087843833187,0.0163265306122449,0.025199645075421474,4.999750012499375e-05,159,42
50000,0.06051464063886424,0.053061224489795916,0.06796805678793257,4.999750012499375e-05,522,181
