seed,n_test_seen,seen_fraction,n_matched,match_fraction,svd_auc_random,svd_auc_matched,svd_drop,neuralmf_auc_random,neuralmf_auc_matched,neuralmf_drop
0,1807,0.7156435643564356,1807,1.0,0.6163761171046986,0.6006629203469628,0.01571319675773586,0.865005700943481,0.646207992101062,0.218797708842419
1,1787,0.7077227722772277,1787,1.0,0.6335924536124701,0.6363497297055242,-0.002757276093054095,0.8651759317510754,0.6378504958243159,0.22732543592675958
2,1827,0.7235643564356435,1827,1.0,0.6194586523559968,0.5953019072604601,0.02415674509553678,0.8654255378110198,0.6408614443267068,0.22456409348431305
3,1819,0.7203960396039604,1819,1.0,0.603303925547962,0.5880396015306031,0.015264324017358888,0.8582318275632481,0.6438455361387541,0.21438629142449406
4,1825,0.7227722772277227,1825,1.0,0.6260715331206606,0.5990369675361231,0.02703456558453743,0.8588883467817601,0.631302533308313,0.22758581347344709
