seed,n_train,n_test_mapped,n_seen,n_matched,match_fraction,auc_random,auprc_random,auc_matched,auprc_matched,auc_drop,auprc_drop
0,14904,3727,3129,1929,0.6164908916586769,0.9970762894891151,0.9975422173389153,0.9440215789076228,0.9563752026085196,0.05305471058149225,0.041167014730395746
1,14912,3719,3115,1813,0.5820224719101124,0.9973893215915327,0.997729156683638,0.917872362045398,0.9338487184831499,0.07951695954613469,0.06388043820048817
2,14904,3727,3144,1778,0.5655216284987278,0.9971923377619796,0.9974679563616715,0.9216111238344925,0.9372790968067972,0.07558121392748707,0.0601888595548743
