model,auc_random_mean,auc_random_sd,auc_matched_mean,auc_matched_sd,auprc_random_mean,auprc_matched_mean
graphban,0.9971220088963738,0.00029416427927340884,0.9272466440342194,0.01225722267223629,0.9974715875432683,0.9423161109564496
neuralmf,0.996493471276818,0.0009539668390004491,0.9072165533604121,0.004598078340108818,0.9957683658373153,0.8866281216248003
lightgcn,0.9886903958661009,0.00107226295224184,0.8811026863120983,0.0055672344311230165,0.990964417332869,0.8689558468495052
svd,0.9506267484635039,0.005518337389169945,0.9150383834172068,0.006032223878337995,0.9727200286083619,0.9357439749084691
