model,auc_random_mean,auc_random_sd,auc_matched_mean,auc_matched_sd,auprc_random_mean,auprc_matched_mean
graphban,0.9972193162808759,0.00015825029114468326,0.9278350215958376,0.014142067145034899,0.9975797767947415,0.9425010059661556
neuralmf,0.9969704164991081,0.0006868328642047186,0.9081409927981102,0.0036568221080651524,0.9960026717259948,0.8892637315787253
lightgcn,0.9889632295242023,0.0010487009589603801,0.8830341652212432,0.006615251790491647,0.9909132104641761,0.8717822392436503
svd,0.9541495696654959,0.0036536146192167815,0.9168082163104566,0.006746537300094151,0.974781986146294,0.9361599073080865
