seed,n_train,n_test_mapped,n_seen,n_matched,match_fraction,auc_random,auprc_random,auc_matched,auprc_matched,auc_drop,auprc_drop
0,14904,3727,3129,1929,0.6164908916586769,0.9970762894891152,0.9975422173389152,0.9440215789076228,0.9563752026085196,0.0530547105814922,0.0411670147303957
1,14912,3719,3115,1813,0.5820224719101124,0.9973893215915328,0.997729156683638,0.917872362045398,0.93384871848315,0.0795169595461346,0.0638804382004881
2,14904,3727,3144,1778,0.5655216284987278,0.9971923377619796,0.9974679563616716,0.9216111238344924,0.9372790968067972,0.075581213927487,0.0601888595548743
3,14906,3725,3131,1838,0.5870328968380709,0.9973114794299512,0.9975331218278116,0.936323131188866,0.9504333013998152,0.0609883482410851,0.0470998204279963
4,14907,3724,3138,1908,0.6080305927342257,0.9966406162092908,0.9970854855043052,0.916405024194718,0.9336442354839664,0.0802355920145727,0.0634412500203386
