seed,model,regime,frozen_auroc,replay_auroc,replay_minus_frozen,abs_diff
0,svd,random,0.9545094647020558,0.9545094647020558,0.0,0.0
0,svd,matched,0.9207987764714228,0.9207987764714229,1.1102230246251565e-16,1.1102230246251565e-16
0,neuralmf,random,0.9962425340690154,0.9962425340690154,0.0,0.0
0,neuralmf,matched,0.9118698235251907,0.9118698235251909,1.1102230246251565e-16,1.1102230246251565e-16
0,lightgcn,random,0.990100648159809,0.990100648159809,0.0,0.0
0,lightgcn,matched,0.8906069564941638,0.8906069564941638,0.0,0.0
0,graphban,random,0.9970762894891152,0.9975357078254631,0.0004594183363478832,0.0004594183363478832
0,graphban,matched,0.9440215789076228,0.9524259474700763,0.008404368562453413,0.008404368562453413
1,svd,random,0.957609918351888,0.957609918351888,0.0,0.0
1,svd,matched,0.92060710034077,0.9206071003407699,-1.1102230246251565e-16,1.1102230246251565e-16
1,neuralmf,random,0.99760708424261,0.99760708424261,0.0,0.0
1,neuralmf,matched,0.9045607062311812,0.9045607062311812,0.0,0.0
1,lightgcn,random,0.9887543574430152,0.988754357443015,-2.220446049250313e-16,2.220446049250313e-16
1,lightgcn,matched,0.8801144762849907,0.8801144762849908,1.1102230246251565e-16,1.1102230246251565e-16
1,graphban,random,0.9973893215915328,0.9982228588948521,0.0008335373033192539,0.0008335373033192539
1,graphban,matched,0.917872362045398,0.9568820089267651,0.0390096468813671,0.0390096468813671
2,svd,random,0.950329325942544,0.950329325942544,0.0,0.0
2,svd,matched,0.9090187721191768,0.9090187721191768,0.0,0.0
2,neuralmf,random,0.9970616311856988,0.9970616311856989,1.1102230246251565e-16,1.1102230246251565e-16
2,neuralmf,matched,0.9079924486379582,0.9079924486379582,0.0,0.0
2,lightgcn,random,0.988034682969783,0.9880346829697828,-2.220446049250313e-16,2.220446049250313e-16
2,lightgcn,matched,0.8783810628845747,0.8783810628845747,0.0,0.0
2,graphban,random,0.9971923377619796,0.9975797026850287,0.0003873649230491383,0.0003873649230491383
2,graphban,matched,0.9216111238344924,0.9340301282643382,0.012419004429845781,0.012419004429845781
3,svd,random,0.946350825004302,0.9463508250043021,1.1102230246251565e-16,1.1102230246251565e-16
3,svd,matched,0.916322355638018,0.916322355638018,0.0,0.0
3,neuralmf,random,0.996481849068887,0.996481849068887,0.0,0.0
3,neuralmf,matched,0.9109001599647628,0.9109001599647627,-1.1102230246251565e-16,1.1102230246251565e-16
3,lightgcn,random,0.9892406133082992,0.9892406133082994,2.220446049250313e-16,2.220446049250313e-16
3,lightgcn,matched,0.8802638293740771,0.8802638293740771,0.0,0.0
3,graphban,random,0.9973114794299512,0.9967602286650195,-0.0005512507649317877,0.0005512507649317877
3,graphban,matched,0.936323131188866,0.9461107605016097,0.009787629312743684,0.009787629312743684
4,svd,random,0.9443342083167294,0.9443342083167294,0.0,0.0
4,svd,matched,0.9084449125166462,0.9084449125166462,0.0,0.0
4,neuralmf,random,0.9950742578178792,0.9950742578178791,-1.1102230246251565e-16,1.1102230246251565e-16
4,neuralmf,matched,0.9007596284429678,0.9007596284429678,0.0,0.0
4,lightgcn,random,0.987321677449598,0.987321677449598,0.0,0.0
4,lightgcn,matched,0.8761471065226851,0.8761471065226851,0.0,0.0
4,graphban,random,0.9966406162092908,0.9970615547163189,0.000420938507028068,0.000420938507028068
4,graphban,matched,0.916405024194718,0.9076977550114492,-0.008707269183268807,0.008707269183268807
