seed,n_train,n_test_mapped,n_seen,n_matched,match_fraction,svd_auc_random,svd_auprc_random,svd_auc_matched,svd_auprc_matched,svd_auc_drop,neuralmf_auc_random,neuralmf_auprc_random,neuralmf_auc_matched,neuralmf_auprc_matched,neuralmf_auc_drop,lightgcn_auc_random,lightgcn_auprc_random,lightgcn_auc_matched,lightgcn_auprc_matched,lightgcn_auc_drop,graphban_auc_random,graphban_auprc_random,graphban_auc_matched,graphban_auprc_matched,graphban_auc_drop,winner_random,winner_matched
0,14904,3727,3129,1929,0.6164908916586769,0.9545094647020558,0.9749842708233296,0.9207987764714229,0.9402365697024072,0.033710688230632835,0.9962425340690154,0.994802065911067,0.9118698235251909,0.8953972735267359,0.08437271054382456,0.990100648159809,0.9928628399920103,0.8906069564941638,0.8842756617021811,0.09949369166564526,0.9970762894891152,0.9975422173389152,0.9440215789076228,0.9563752026085196,0.0530547105814922,graphban,graphban
1,14912,3719,3115,1813,0.5820224719101124,0.957609918351888,0.9766951546270705,0.9206071003407699,0.9378589337041087,0.037002818011118155,0.99760708424261,0.9965372610311282,0.9045607062311812,0.8846649653665812,0.09304637801142879,0.9887543574430152,0.9902262048814029,0.8801144762849907,0.8712169750058087,0.10863988115802448,0.9973893215915328,0.997729156683638,0.917872362045398,0.93384871848315,0.0795169595461346,neuralmf,svd
2,14904,3727,3144,1778,0.5655216284987278,0.950329325942544,0.9726665329884814,0.9090187721191768,0.9303842185177438,0.041310553823367235,0.9970616311856989,0.9966686882357895,0.9079924486379582,0.8877289558428587,0.08906918254774066,0.988034682969783,0.9896505852201393,0.8783810628845747,0.8598540104002784,0.10965362008520829,0.9971923377619796,0.9974679563616716,0.9216111238344924,0.9372790968067972,0.075581213927487,graphban,graphban
3,14906,3725,3131,1838,0.5870328968380709,0.9463508250043021,0.9699307808976105,0.916322355638018,0.9376004493713436,0.030028469366284116,0.996481849068887,0.9964509013175799,0.9109001599647627,0.886737281216871,0.08558168910412434,0.9892406133082993,0.9925721179471277,0.8802638293740771,0.8554373864590599,0.10897678393422217,0.9973114794299512,0.9975331218278116,0.936323131188866,0.9504333013998152,0.0609883482410851,graphban,graphban
4,14907,3724,3138,1908,0.6080305927342257,0.9443342083167294,0.9693234037053169,0.9084449125166462,0.9326397032467426,0.035889295800083265,0.9950742578178791,0.9943829126910115,0.9007596284429678,0.8786121321709544,0.09431462937491131,0.987321677449598,0.9895103386236649,0.8761471065226851,0.8739952006801985,0.11117457092691285,0.9966406162092908,0.9970854855043052,0.916405024194718,0.9336442354839664,0.0802355920145727,graphban,graphban
