init_a,init_b,k,turnover,family,comparison,model_a,model_b,init
0.0,1.0,1000,0.862,Disease-Gene,within,NeuralMF,NeuralMF,
0.0,2.0,100,0.89,Disease-Gene,within,NeuralMF,NeuralMF,
0.0,2.0,500,0.856,Disease-Gene,within,NeuralMF,NeuralMF,
0.0,2.0,1000,0.845,Disease-Gene,within,NeuralMF,NeuralMF,
0.0,3.0,100,0.96,Disease-Gene,within,NeuralMF,NeuralMF,
0.0,3.0,500,0.89,Disease-Gene,within,NeuralMF,NeuralMF,
0.0,3.0,1000,0.846,Disease-Gene,within,NeuralMF,NeuralMF,
0.0,4.0,100,0.96,Disease-Gene,within,NeuralMF,NeuralMF,
0.0,4.0,500,0.888,Disease-Gene,within,NeuralMF,NeuralMF,
0.0,4.0,1000,0.853,Disease-Gene,within,NeuralMF,NeuralMF,
1.0,2.0,100,0.92,Disease-Gene,within,NeuralMF,NeuralMF,
1.0,2.0,500,0.872,Disease-Gene,within,NeuralMF,NeuralMF,
1.0,2.0,1000,0.837,Disease-Gene,within,NeuralMF,NeuralMF,
1.0,3.0,100,0.9299999999999999,Disease-Gene,within,NeuralMF,NeuralMF,
1.0,3.0,500,0.888,Disease-Gene,within,NeuralMF,NeuralMF,
1.0,3.0,1000,0.874,Disease-Gene,within,NeuralMF,NeuralMF,
1.0,4.0,100,0.89,Disease-Gene,within,NeuralMF,NeuralMF,
1.0,4.0,500,0.872,Disease-Gene,within,NeuralMF,NeuralMF,
1.0,4.0,1000,0.844,Disease-Gene,within,NeuralMF,NeuralMF,
2.0,3.0,100,0.95,Disease-Gene,within,NeuralMF,NeuralMF,
2.0,3.0,500,0.866,Disease-Gene,within,NeuralMF,NeuralMF,
2.0,3.0,1000,0.829,Disease-Gene,within,NeuralMF,NeuralMF,
2.0,4.0,100,0.95,Disease-Gene,within,NeuralMF,NeuralMF,
2.0,4.0,500,0.872,Disease-Gene,within,NeuralMF,NeuralMF,
2.0,4.0,1000,0.855,Disease-Gene,within,NeuralMF,NeuralMF,
3.0,4.0,100,0.94,Disease-Gene,within,NeuralMF,NeuralMF,
3.0,4.0,500,0.872,Disease-Gene,within,NeuralMF,NeuralMF,
3.0,4.0,1000,0.846,Disease-Gene,within,NeuralMF,NeuralMF,
0.0,1.0,100,0.7,Disease-Gene,within,LightGCN,LightGCN,
0.0,1.0,500,0.6739999999999999,Disease-Gene,within,LightGCN,LightGCN,
0.0,1.0,1000,0.6759999999999999,Disease-Gene,within,LightGCN,LightGCN,
0.0,2.0,100,0.6599999999999999,Disease-Gene,within,LightGCN,LightGCN,
0.0,2.0,500,0.6659999999999999,Disease-Gene,within,LightGCN,LightGCN,
0.0,2.0,1000,0.646,Disease-Gene,within,LightGCN,LightGCN,
0.0,3.0,100,0.65,Disease-Gene,within,LightGCN,LightGCN,
0.0,3.0,500,0.628,Disease-Gene,within,LightGCN,LightGCN,
0.0,3.0,1000,0.613,Disease-Gene,within,LightGCN,LightGCN,
0.0,4.0,100,0.6699999999999999,Disease-Gene,within,LightGCN,LightGCN,
0.0,4.0,500,0.648,Disease-Gene,within,LightGCN,LightGCN,
0.0,4.0,1000,0.65,Disease-Gene,within,LightGCN,LightGCN,
1.0,2.0,100,0.73,Disease-Gene,within,LightGCN,LightGCN,
1.0,2.0,500,0.696,Disease-Gene,within,LightGCN,LightGCN,
1.0,2.0,1000,0.667,Disease-Gene,within,LightGCN,LightGCN,
1.0,3.0,100,0.61,Disease-Gene,within,LightGCN,LightGCN,
1.0,3.0,500,0.616,Disease-Gene,within,LightGCN,LightGCN,
