seed,n_seen,seen_fraction,n_matched,match_fraction,lightgcn_auc_random,lightgcn_auc_matched,lightgcn_drop
0,1807,0.7156435643564356,1807,1.0,0.780479528513752,0.7133998050378394,0.06707972347591262
1,1787,0.7077227722772277,1787,1.0,0.8050172090979777,0.739386835658516,0.06563037343946165
2,1827,0.7235643564356435,1827,1.0,0.7954722823643043,0.7092990893455193,0.08617319301878501
