seed,n_seen,seen_fraction,n_matched,matched_fraction,auc_random,auc_degree_matched,inflation_auc
0,86,0.5695364238410596,86,1.0,0.8398458626284478,0.5129799891833423,0.32686587344510554
1,102,0.6754966887417219,102,1.0,0.8790369088811996,0.5108131487889274,0.3682237600922722
2,100,0.6622516556291391,100,1.0,0.89475,0.52755,0.3672000000000001
3,85,0.5629139072847682,85,1.0,0.8770934256055364,0.510242214532872,0.3668512110726644
4,81,0.5364238410596026,81,1.0,0.8722755677488188,0.5237006553878982,0.34857491236092053
5,79,0.5231788079470199,79,1.0,0.8742188751802595,0.5139400737061368,0.3602788014741227
6,89,0.5894039735099338,89,1.0,0.8498295669738669,0.5200732230778942,0.32975634389597275
7,95,0.6291390728476821,95,1.0,0.8725207756232687,0.520831024930748,0.35168975069252073
8,96,0.6357615894039735,96,1.0,0.8605685763888888,0.5304361979166666,0.3301323784722222
9,94,0.6225165562913907,94,1.0,0.884506564056134,0.5350837483023992,0.3494228157537348
10,95,0.6291390728476821,95,1.0,0.8509695290858725,0.5090304709141275,0.3419390581717451
11,93,0.6158940397350994,93,1.0,0.8925309284310325,0.5178055266504799,0.3747254017805527
12,106,0.7019867549668874,106,1.0,0.8764684941260235,0.530437878248487,0.3460306158775365
13,84,0.5562913907284768,84,1.0,0.8782596371882087,0.527281746031746,0.3509778911564626
14,94,0.6225165562913907,94,1.0,0.8798664554096877,0.5162969669533726,0.3635694884563151
15,90,0.5960264900662252,90,1.0,0.8535802469135803,0.5059876543209877,0.34759259259259256
16,93,0.6158940397350994,93,1.0,0.8603306740663661,0.5095386749913284,0.35079199907503766
17,96,0.6357615894039735,96,1.0,0.8885091145833334,0.50537109375,0.38313802083333337
18,81,0.5364238410596026,81,1.0,0.8774577046181985,0.516841944825484,0.36061575979271454
19,87,0.5761589403973509,87,1.0,0.8639186154049412,0.5165807900647378,0.3473378253402034
20,93,0.6158940397350994,93,1.0,0.8780783905653833,0.5085559024164643,0.36952248814891897
21,83,0.5496688741721855,83,1.0,0.8753810422412541,0.5052257221657716,0.3701553200754826
22,93,0.6158940397350994,93,1.0,0.8449531737773153,0.5142791074112614,0.3306740663660539
23,104,0.6887417218543046,104,1.0,0.8427792159763313,0.5190920857988166,0.3236871301775147
24,86,0.5695364238410596,86,1.0,0.8784478096268253,0.5283261222282315,0.35012168739859384
25,90,0.5960264900662252,90,1.0,0.8469753086419753,0.5299382716049382,0.3170370370370371
26,95,0.6291390728476821,95,1.0,0.9193905817174515,0.525595567867036,0.3937950138504155
27,82,0.543046357615894,82,1.0,0.8833283759666865,0.5235722784057109,0.3597560975609756
28,98,0.6490066225165563,98,1.0,0.9068617242815493,0.5204081632653061,0.3864535610162432
29,90,0.5960264900662252,90,1.0,0.8501234567901235,0.5299382716049382,0.32018518518518524
30,101,0.6688741721854304,101,1.0,0.8907460052935987,0.5345064209391236,0.3562395843544751
31,93,0.6158940397350994,93,1.0,0.8635680425482715,0.5187304890738814,0.34483755347439005
32,83,0.5496688741721855,83,1.0,0.8890259834518798,0.5251124981855131,0.3639134852663667
33,90,0.5960264900662252,90,1.0,0.8461111111111111,0.517962962962963,0.3281481481481482
34,93,0.6158940397350994,93,1.0,0.8477858711989825,0.5157821713492889,0.3320036998496936
35,100,0.6622516556291391,100,1.0,0.86235,0.5178,0.3445499999999999
36,90,0.5960264900662252,90,1.0,0.8591358024691358,0.5321604938271605,0.3269753086419753
37,94,0.6225165562913907,94,1.0,0.8710955183340878,0.5305002263467632,0.34059529198732463
38,100,0.6622516556291391,100,1.0,0.84955,0.5204,0.32915000000000005
39,86,0.5695364238410596,86,1.0,0.86769875608437,0.532314764737696,0.33538399134667396
40,100,0.6622516556291391,100,1.0,0.89875,0.50985,0.3889
41,94,0.6225165562913907,94,1.0,0.8420099592575826,0.5126188320507017,0.3293911272068809
42,90,0.5960264900662252,90,1.0,0.8852469135802469,0.5117901234567901,0.3734567901234568
43,86,0.5695364238410596,86,1.0,0.8917658193618172,0.48343699296917253,0.4083288263926447
44,85,0.5629139072847682,85,1.0,0.8803460207612457,0.518961937716263,0.3613840830449827
45,87,0.5761589403973509,87,1.0,0.8882943585678426,0.5179680274805126,0.37032633108732993
46,89,0.5894039735099338,89,1.0,0.8397298320919075,0.5212094432521146,0.31852038883979295
47,89,0.5894039735099338,89,1.0,0.8664941295290999,0.5109203383411185,0.3555737911879814
48,94,0.6225165562913907,94,1.0,0.8666817564508827,0.5140900860117701,0.35259167043911266
49,92,0.609271523178808,92,1.0,0.9054820415879017,0.5318998109640832,0.37358223062381846
