family,k,cross_ht,conventional_loo_ht_mean,conventional_loo_ht_max,neutralized_loo_ht_mean,neutralized_loo_ht_max,cross_minus_worst_loo_mean,cross_minus_worst_loo_max
DTI,100,1.0,0.08499999999999999,0.13,0.04200000000000004,0.050000000000000044,0.915,0.87
DTI,500,1.0,0.004800000000000004,0.006000000000000005,0.03320000000000003,0.04200000000000004,0.9668,0.958
DTI,1000,0.9390000000000001,0.06600000000000002,0.10299999999999998,0.03820000000000003,0.04300000000000004,0.873,0.8360000000000001
Disease-Gene,100,0.8,0.378,0.41000000000000003,0.21899999999999994,0.26,0.42200000000000004,0.39
Disease-Gene,500,0.74,0.35259999999999997,0.376,0.17679999999999998,0.19799999999999995,0.3874,0.364
Disease-Gene,1000,0.7170000000000001,0.3251,0.344,0.19069999999999998,0.20399999999999996,0.3919000000000001,0.3730000000000001
