model,k,hits,precision_lower_bound,recall_supported,enrichment_uniform
NeuralMF,100,0,0.0,0.0,0.0
NeuralMF,500,0,0.0,0.0,0.0
NeuralMF,1000,2,0.002,0.030303030303030304,30.828545454545456
NeuralMF,5000,12,0.0024,0.18181818181818182,36.994254545454545
NeuralMF,10000,19,0.0019,0.2878787878787879,29.287118181818183
NeuralMF,50000,35,0.0007,0.5303030303030303,10.789990909090909
SVD,100,3,0.03,0.045454545454545456,462.42818181818177
SVD,500,5,0.01,0.07575757575757576,154.14272727272729
SVD,1000,6,0.006,0.09090909090909091,92.48563636363636
SVD,5000,13,0.0026,0.19696969696969696,40.07710909090909
SVD,10000,15,0.0015,0.22727272727272727,23.12140909090909
SVD,50000,23,0.00046,0.3484848484848485,7.090565454545454
LightGCN,100,0,0.0,0.0,0.0
LightGCN,500,2,0.004,0.030303030303030304,61.65709090909091
LightGCN,1000,5,0.005,0.07575757575757576,77.07136363636364
LightGCN,5000,11,0.0022,0.16666666666666666,33.9114
LightGCN,10000,15,0.0015,0.22727272727272727,23.12140909090909
LightGCN,50000,33,0.00066,0.5,10.17342
